City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
412,ha'il,27.5219,41.6907,26.01,18,0,4.12,SA,2023-09-29 15:57:18
413,rio grande,-32.035,-52.0986,16.64,76,16,7.76,BR,2023-09-29 15:57:19
414,whistler,50.1164,-122.9695,5.86,96,100,0.56,CA,2023-09-29 15:57:20
415,metlili chaamba,32.2667,3.6333,17.52,52,0,0.0,DZ,2023-09-29 15:54:37
416,fort mcmurray,56.7268,-111.381,8.77,87,100,3.09,CA,2023-09-29 15:57:21
417,yurimaguas,-5.9,-76.0833,24.23,82,92,1.01,PE,2023-09-29 15:57:21
418,jinja,0.439,33.2032,21.92,82,84,1.0,UG,2023-09-29 15:57:22
419,luderitz,-26.6481,15.1594,12.59,85,81,2.16,NA,2023-09-29 15:57:22
420,mohr,54.3528,9.7167,16.08,90,75,3.09,DE,2023-09-29 15:57:23
421,northwood,40.4728,-83.7324,17.53,100,100,0.0,US,2023-09-29 15:57:23
422,itaberaba,-12.5275,-40.3069,20.79,94,19,1.65,BR,2023-09-29 15:57:24
423,orda,57.1951,56.9091,11.76,83,99,4.55,RU,2023-09-29 15:57:25
424,homer,59.6425,-151.5483,7.09,75,100,0.59,US,2023-09-29 15:57:25
425,steinbach,50.1667,8.5667,18.13,85,0,0.51,DE,2023-09-29 15:57:27
426,iisalmi,63.5592,27.1907,11.73,95,55,3.43,FI,2023-09-29 15:57:28
427,santa elena,-2.2333,-80.85,22.08,80,91,4.06,EC,2023-09-29 15:57:28
428,dompu,-8.5356,118.4622,36.82,30,58,0.81,ID,2023-09-29 15:57:29
429,pandan,14.0453,124.1694,30.08,71,41,2.52,PH,2023-09-29 15:57:30
430,khilok,51.3674,110.4676,12.31,56,49,4.61,RU,2023-09-29 15:57:31
431,bocanda,7.0626,-4.4995,22.57,99,60,1.5,CI,2023-09-29 15:57:32
432,aioun,16.6614,-9.6149,29.63,61,66,7.62,MR,2023-09-29 15:57:32
433,kitimat,54.0524,-128.6534,11.21,64,79,0.45,CA,2023-09-29 15:57:33
434,island harbour,50.724,-1.2758,15.56,94,89,2.24,GB,2023-09-29 15:57:34
435,rudnichnyy,59.617,52.4703,10.92,91,100,4.18,RU,2023-09-29 15:57:35
436,upington,-28.4478,21.2561,13.21,26,0,2.06,ZA,2023-09-29 15:54:29
437,shiraz,29.6036,52.5388,24.69,29,0,0.0,IR,2023-09-29 15:57:36
438,port blair,11.6667,92.75,27.02,89,100,5.14,IN,2023-09-29 15:57:36
439,maintirano,-18.0667,44.0167,28.6,47,3,2.06,MG,2023-09-29 15:57:37
440,wenchang,30.904,118.4887,28.69,73,62,2.67,CN,2023-09-29 15:57:37
441,mariehamn,60.0973,19.9348,14.34,100,100,1.54,AX,2023-09-29 15:57:38
